ID,Date,Doc,Lab,LabNo,Area,AreaNum,Notes,pH,OM360,TECM3,PM3,KM3,CaM3,MgM3,NaM3,SM3,ClM3,EC12,BM3,FeM3,MnM3,CuM3,ZnM3,AlM3,PB2,PO,NO3N,NH4N
25021,9/26/2013,G70,Brookside,0124-1,g,15,poa bent,5.4,1.44,2.94,25,49,230,39,40,18,15.83,0.05,0.47,93,33,3.96,4.86,446,20,7,2.7,13.5
24991,10/2/2013,G73,Brookside,0193-1,g,1,poa bent,6.8,2.23,5.58,82,60,806,101,30,11,21.21,0.09,0.52,212,52,5.79,10.71,142,109,16,7.7,3.9
24993,10/2/2013,G73,Brookside,0195-1,f,fwy,poa bent,6.5,10.15,13.85,32,117,1985,207,43,43,16.53,0.21,0.94,304,38,3.46,5.31,567,41,8,6.3,4.4
24992,10/2/2013,G73,Brookside,0194-1,t,3,poa bent,7.3,3.82,7.69,81,116,1182,122,34,31,13.9,0.19,0.56,306,40,2.82,4.6,337,125,13,8,3.8
25170,11/18/2013,G74,Brookside,0982-1,g,07,poa,6.5,1.58,3.99,81,71,479,96,27,17,0,0.06,0.37,309,27,5.26,4.92,407,81,20,4,3.9
25168,11/18/2013,G74,Brookside,0980-1,g,09,poa,6.3,1.53,4.29,71,72,510,92,28,20,1.37,0.09,0.38,322,32,4.52,5.31,397,75,18,6.7,4.3
25169,11/18/2013,G74,Brookside,0981-1,t,09,rye,5.9,2.06,4.38,68,92,497,58,32,22,3.55,0.08,0.54,308,10,1.29,5.74,497,77,19,3.6,3.7
25057,10/22/2013,G76,Brookside,0016-1,f,07,bent poa,5.5,3.41,8.37,68,106,783,121,30,12,3,0.05,0.25,204,12,1.17,2.45,1260,134,19,6,7.5
25056,10/22/2013,G76,Brookside,0015-1,t,02,bent poa rye,5.6,4.15,5.74,56,72,560,90,23,11,4.17,0.03,0.22,158,12,1.17,2.86,1294,129,14,1.5,11.6
25055,10/22/2013,G76,Brookside,0014-1,g,18,bent poa,5.7,2.02,5.57,32,48,555,102,34,11,5.91,0.04,0.37,326,11,5.55,4.86,421,89,10,1.9,8.1
25172,11/20/2013,G77,Brookside,0121-1,f,06,,5.2,2.84,6,28,49,425,70,94,12,65.66,0.13,0.6,209,4,0.7,5.76,377,22,8,4.8,5.8
25173,11/20/2013,G77,Brookside,0122-1,g,05,,6.9,3.14,7.1,171,67,1003,124,105,18,60.3,0.15,0.61,279,11,4.27,15.99,432,343,25,3.2,4.2
25171,11/20/2013,G77,Brookside,0120-1,g,06,,6.9,2.76,5.94,123,60,821,107,100,15,37.39,0.11,0.6,165,21,3.41,12.07,346,149,22,2.6,4.1
25185,11/7/2013,G78,Brookside,0123-1,g,15,bent poa,6,1.9,4.78,120,66,582,65,43,15,23.86,0.13,0.54,276,19,5.29,8.1,490,188,25,3.4,4.8
25186,11/7/2013,G78,Brookside,0124-1,t,16,bent sod,6.1,0.53,2.82,45,47,324,50,31,8,5.67,0.03,0.25,161,12,1.31,2.71,466,53,13,0.9,4.2
25187,11/7/2013,G78,Brookside,0125-1,f,14,bent poa,5.9,3.85,6.59,104,52,772,104,40,12,11.51,0.05,0.64,378,10,2.02,7.66,669,155,20,2.7,6.1
25272,3/19/2014,G79,Brookside,0005-1,t,05,bentgrass,8.2,0.61,15.71,69,80,2785,110,38,15,8.29,0.08,0.44,191,44,2.22,3.58,80,196,9,0.7,2.3
25273,3/19/2014,G79,Brookside,0006-1,g,07,bentgrass,8,1.34,5.23,41,57,788,103,24,11,7.97,0.07,0.55,140,27,3.93,13.33,69,56,8,0.8,3.9
25274,3/19/2014,G79,Brookside,0007-1,f,17,ryegrass,7.9,2.88,64.25,19,214,11745,303,46,91,26.62,0.37,0.63,106,39,2.33,6.39,11,0,14,1.7,4.8
25227,1/23/2014,G80,Brookside,0130-1,g,13,Tif Eagle,6.8,0.85,2.45,16,23,371,31,21,8,12.88,0.04,0.23,68,73,5.17,17.24,45,17,5,2.2,0.6
25226,1/23/2014,G80,Brookside,0129-1,g,04,Tif Eagle,6.6,2.52,3.72,36,42,533,52,26,11,7.39,0.05,0.5,133,96,7.71,29.87,49,48,8,3.5,2.1
25228,1/23/2014,G80,Brookside,0131-1,g,18,Tif Eagle,6.6,1.65,3.33,27,36,484,44,20,9,6.27,0.04,0.65,104,101,8.39,29.48,39,31,7,3.5,1.4
28443,2/5/2014,G81,Brookside,0121-1,g,09,bent,6.7,2.44,5.01,111,53,770,49,35,7,8.57,0.05,0.36,115,15,3.35,5.5,239,192,23,0.6,5.3
28445,2/5/2014,G81,Brookside,0123-1,f,06,bermuda,7.6,3.78,14.29,450,85,2410,155,42,29,9.65,0.11,0.85,113,20,3.07,17.3,386,523,43,3.7,3.6
28444,2/5/2014,G81,Brookside,0122-1,t,01,zosyia,5.5,2.99,4.82,181,108,435,53,39,9,18.87,0.04,0.28,128,9,0.96,4.16,435,300,38,0,7.9
25188,12/10/2013,G8302,Brookside,0045-1,t,03,rye blue bent,5.3,5.16,9.78,82,74,843,125,34,16,12.88,0.07,1.21,202,59,4.94,21.14,889,148,27,1.2,3.4
25190,12/10/2013,G8302,Brookside,0047-1,g,17,poa bent,6.3,1.94,4.77,105,66,623,73,30,14,14.99,0.08,1,165,12,1.23,11.55,157,102,19,0.9,2.4
25189,12/10/2013,G8302,Brookside,0046-1,g,15,poa bent,6.5,2.32,5.02,119,75,675,81,35,18,14.95,0.07,1.06,202,9,1.48,11.62,185,127,21,1.2,2.7
25269,3/17/2014,G85,Brookside,0079-1,g,01_11-12,annual bluegrass,6.7,2.03,6.35,74,112,957,66,32,22,5,0.07,0.37,239,20,4.07,3.91,312,160,17,9.1,4.1
25270,3/17/2014,G85,Brookside,0080-1,f,03_04_055,annual bluegrass,5.7,9.24,12.72,206,158,1482,111,38,21,11.64,0.11,0.51,215,14,2.43,9.44,863,363,60,17.8,5.6
25271,3/17/2014,G85,Brookside,0081-1,t,01_03_05_06,annual bluegrass,6.8,1.81,6.33,129,122,941,80,37,22,11.69,0.08,0.41,279,33,3.59,3.53,326,303,25,10.9,3.8
29373,5/7/2014,G88,Brookside,0169-1,g,10,poa/bent,7.6,1.12,11.72,135,49,2018,113,28,14,4.75,0.1,0.55,338,22,1.55,10.9,62,142,32,5.6,1.3
29374,5/7/2014,G88,Brookside,0170-1,g,03,poa/bent,7.5,1.46,11.21,159,69,1872,134,27,15,3.42,0.1,0.7,414,21,1.71,13.43,48,171,32,4.9,1.3
29372,5/7/2014,G88,Brookside,0168-1,g,15,poa/bent,7.5,0.49,7.44,144,59,1183,116,27,11,2.21,0.08,0.59,344,31,1.74,11.12,87,152,31,7.2,1.3
28411,5/27/2014,G8901,Brookside,0031-1,g,01,bent/poa,6.4,1.61,4.28,187,66,538,86,24,18,9.59,0.07,0.47,387,36,1.77,3.74,450,333,40,6.7,5.6
28413,5/27/2014,G8901,Brookside,0033-1,g,05,penncross bent,6.5,1.03,3.05,194,67,314,97,28,11,2.78,0.03,0.42,378,28,1.24,2.76,309,157,32,2.1,5.7
